Sample File;C:\PartyLab\SMPS\202205101400_SMPS.S80
Classifier Model;3080
DMA Model;3081
DMA Inner Radius(cm);0.00937
DMA Outer Radius(cm);0.01961
DMA Characteristic Length(cm);0.44369
CPC Model;3772
Reference Gas Viscosity (Pa*s);1.83245e-005
Reference Mean Free Path (m);6.73e-008
Reference Gas Temperature (K);296.15
Reference Gas Pressure (kPa);101.3
Channels/Decade;64
Multiple Charge Correction;TRUE
Nanoparticle Aggregate Mobility Analysis;FALSE
Diffusion Correction;TRUE
Gas Density;0.0012
Units;dw/dlogDp
Weight;Number
1162;05/14/22;15:25:50;14.8;76.2;8.633490e-008;1.793037e-005;;38.3297;0;60.3489;53.391;96.2164;164.631;205.35;268.577;271.791;289.238;356.976;426.368;497.232;375.049;375.779;480.27;575.014;574.138;548.601;529.508;549.395;619.361;706.746;840.255;803.326;730.256;778.453;782.044;684.885;658.032;708.411;696.195;694.047;684.595;489.7;573.634;622.893;567.124;456.119;468.718;456.792;525.13;492.228;560.821;557.243;587.062;574.182;568.465;635.372;486.635;563.837;552.467;612.089;497.489;519.832;467.118;470.312;479.395;447.229;462.469;439.052;369.821;385.616;346.137;348.728;337.393;263.452;395.964;315.325;290.76;279.619;279.975;253.497;288.101;250.818;226.286;282.773;296.357;257.539;256.491;249.68;203.805;217.523;283.397;218.903;172.711;231.735;174.982;197.789;159.885;122.96;121.043;59.6658;73.0706;67.1143;51.4742;54.8279;45.8513;33.6495;26.3038;29.0772;16.4777;16.8152;2.47203;11.4021;10.594;280;20;FALSE;1;None;5;1;1;1;10.9029;9636.68;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;50.9587;79.0008;56.127;27.8813;2.22921;606.782;
1163;05/14/22;15:30:50;14.7;76.2;8.627396e-008;1.792553e-005;;0;0;30.1582;53.3827;48.0674;65.1502;135.074;127.807;233.909;271.035;198.836;277.446;223.946;328.58;402.299;269.879;354.887;466.886;404.004;399.084;488.908;433.724;508.868;448.859;402.888;545.331;486.925;434.641;531.836;524.963;527.06;515.548;507.517;459.696;402.429;438.767;464.908;497.076;518.882;496.697;550.031;544.223;572.766;563.524;548.418;562.45;638.853;663.362;526.441;608.905;582.68;608.694;530.369;515.967;538.33;546.1;511.08;463.285;396.173;416.967;401.857;370.517;429.714;330.631;377.89;328.163;310.675;375.092;335.842;345.446;323.128;327.312;338.697;239.754;296.653;274.779;261.448;269.421;182.386;209.156;251.003;209.24;204.845;199.88;224.734;152.03;233.222;151.729;165.636;122.894;120.364;104.56;97.4901;109.069;58.1019;40.2671;21.2377;41.4719;17.1935;15.947;21.9853;23.7081;17.6023;19.6541;14.1986;3.25425;280;20;FALSE;1;None;5;1;1;1;10.9075;9636.01;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;61.1767;85.7658;62.7696;66.1169;2.18392;527.882;
1164;05/14/22;15:35:50;14.8;76.2;8.638025e-008;1.793037e-005;;0;0;30.1854;0;72.1864;65.2017;118.249;73.2061;85.3742;122.309;199.404;139.107;165.569;174.533;132.89;217.794;272.224;338.885;409.782;272.804;230.986;436.667;317.913;426.675;468.085;329.598;442.821;528.449;541.855;485.024;444.721;469.616;483.447;406.109;435.238;440.028;444.061;427.997;459.215;430.241;581.938;558.749;467.089;604.013;563.521;621.82;592.705;561.278;611.343;509.046;537.594;522.216;541.712;448.719;520.148;488.434;392.782;418.846;357.292;414.497;387.4;345.031;311.471;327.411;325.04;279.928;366.173;273.375;328.474;291.424;293.097;271.164;260.42;280.136;253.155;334.139;268.801;212.277;243.107;202.41;261.734;226.476;202.193;210.167;186.593;191.471;197.656;191.778;153.929;127.701;132.106;132.327;89.1268;66.9305;72.3464;49.9366;26.0643;39.7429;36.7568;32.2237;13.4161;19.7744;6.72648;3.40934;3.48188;7.06307;280;20;FALSE;1;None;5;1;1;1;10.8973;9635.24;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;63.6537;90.0058;66.7561;61.5265;2.14717;474.809;
1165;05/14/22;15:40:50;14.8;76.2;8.635757e-008;1.793037e-005;;0;33.6816;0;80.1004;96.2324;108.652;78.8206;143.262;135.814;143.966;193.005;113.801;165.652;229.205;163.539;197.349;201.438;86.7372;235.697;200.829;260.774;207.731;189.157;247.659;306.056;233.971;265.379;315.092;317.727;334.369;291.499;309.896;332.392;334.768;362.767;363.491;414.386;425.005;409.095;387.694;480.387;424.488;502.202;508.791;561.76;473.427;472.446;551.319;491.9;467.964;515.15;447.835;432.412;328.52;389.243;402.76;356.419;321.708;298.385;323.096;311.335;298.17;357.607;276.802;338.881;267.237;187.344;241.088;270.199;209.066;228.094;216.326;249.563;216.469;204.9;207.834;234.647;191.995;234.181;205.959;169.659;168.628;183.297;187.499;165.676;152.979;148.276;123.561;152.802;105.705;91.3164;60.0955;71.9035;46.9178;87.0004;51.3512;45.8575;27.371;43.8816;31.422;13.4052;9.8869;13.4526;10.2277;17.4089;0;280;20;FALSE;1;None;5;1;1;1;10.9001;9635.96;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;65.1942;91.4086;67.5491;59.3523;2.17143;387.409;
1166;05/14/22;15:45:50;14.8;76.2;8.631224e-008;1.793037e-005;;0;33.6687;0;53.3817;192.401;121.248;126.441;35.8051;130.436;163.68;110.26;139.055;155.235;142.858;253.015;167.862;219.086;254.569;228.576;241.628;186.123;227.842;206.357;250.392;304.359;294.372;275.448;307.377;369.237;300.653;283.668;301.049;397.044;320.035;383.629;323.057;358.165;409.989;500.767;509.457;530.212;429.92;470.187;508.564;501.132;492.259;495.065;494.868;455.289;542.075;462.507;456.113;456.565;332.504;413.546;429.498;359.446;394.505;321.316;317.038;301.951;250.292;315.317;291.139;257.144;258.516;259.433;271.317;235.473;226.765;246.738;267.26;219.511;285.876;262.564;232.91;192.867;222.364;202.071;165.22;233.473;188.079;164.818;167.525;144.703;141.405;129.975;111.204;136.175;113.69;62.231;94.9371;88.1886;28.768;47.4083;38.1534;27.3069;19.9538;14.0888;12.7583;22.6149;9.88632;6.72589;0;10.4447;3.53123;280;20;FALSE;1;None;5;1;1;1;10.9057;9637.4;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;64.2822;88.8706;66.3533;71.0497;2.14764;392.556;
1167;05/14/22;15:50:50;14.8;76.1;8.641429e-008;1.793037e-005;;0;45.3573;19.7465;0;72.2044;86.9564;98.5635;55.1606;101.691;196.765;57.8796;142.617;211.796;142.49;146.352;164.114;91.6437;214.818;90.5733;198.232;229.76;174.346;200.774;230.295;249.231;225.681;235.342;210.146;232.15;269.105;274.418;321.848;361.751;362.836;312.97;302.174;367.418;426.689;444.924;432.455;458.583;488.089;434.707;505.649;431.124;470.398;406.635;485.369;523.815;458.126;492.834;444.934;379.188;422.544;360.719;328.086;331.062;289.123;325.49;299.418;357.862;279.858;273.215;202.083;213.077;247.01;196.134;188.447;201.209;199.602;213.378;191.643;151.826;205.367;146.542;200.379;191.581;202.538;153.268;158.991;175.744;164.659;175.84;147.814;135.949;155.145;112.685;137.638;147.067;108.277;61.1674;69.2732;55.039;64.5325;60.4027;52.4325;30.345;26.0375;14.1536;15.9499;22.6179;3.29587;6.72677;0;3.7446;13.8604;280;20;FALSE;1;None;5;1;1;1;10.8931;9634.16;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;65.1415;90.1123;67.5403;68.539;2.12358;351.118;
1168;05/14/22;15:55:50;14.8;76.1;8.644836e-008;1.793037e-005;;0;0;0;0;24.0742;86.9773;59.1517;53.755;114.228;44.6763;124.139;186.99;132.033;153.478;204.515;225.488;175.386;146.307;251.949;182.282;216.557;292.252;202.863;305.69;201.496;278.685;218.481;269.86;304.842;304.174;383.058;318.688;330.377;286.107;260.88;328.599;340.231;377.177;383.046;455.948;456.247;449.716;525.029;528.517;513.629;490.833;529.503;481.68;423.135;462.588;477.586;403.377;402.375;358.044;359.527;351.437;311.382;275.895;251.043;297.268;284.645;250.432;266.015;195.473;252.175;249.699;209.009;254.426;206.537;239.069;238.704;195.957;206.019;205.692;229.497;219.075;237.391;201.494;225.853;176.534;222.636;162.141;171.304;153.26;161.398;142.961;109.855;123.791;81.747;84.1449;109.599;53.1251;63.5104;53.7447;43.9168;26.8217;33.5158;27.5074;28.1668;15.9506;19.3876;9.88804;6.72706;3.40964;6.96436;7.06368;280;20;FALSE;1;None;5;1;1;1;10.8888;9633.08;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;64.0897;90.1906;67.6974;63.7804;2.11814;359.992;
1169;05/14/22;16:00:50;14.8;76.2;8.635757e-008;1.793037e-005;;0;0;30.1799;26.7001;24.0581;43.4608;39.4103;107.447;97.8546;44.6521;179.219;150.759;201.849;124.489;234.024;242.259;244.394;218.554;200.428;214.61;176.662;259.463;343.536;306.832;280.083;327.711;282.217;229.748;342.673;327.852;400.344;377.538;372.748;305.84;335.299;323.206;437.244;332.099;378.056;464.846;374.742;390.858;442.205;461.294;506.611;453.059;396.38;434.318;443.107;410.164;407.41;369.713;378.457;370.787;392.819;368.864;379.241;350.317;305.364;321.467;245.49;245.008;261.692;197.703;202.487;219.173;218.44;188.296;203.82;261.969;251.021;204.766;267.869;196.896;194.157;217.899;213.902;243.549;241.035;240.348;169.736;167.58;149.369;135.657;158.213;113.894;151.139;95.1616;105.744;87.33;73.0098;76.3713;46.2989;52.6717;51.8711;48.5151;12.5311;33.3843;21.905;6.3795;37.4507;7.93775;3.36314;13.637;6.96356;7.06287;280;20;FALSE;1;None;5;1;1;1;10.9001;9635.96;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;62.7114;88.9044;65.9895;59.3523;2.14738;364.597;
1170;05/14/22;16:05:50;14.8;76.3;8.621043e-008;1.793037e-005;;0;0;30.1442;80.2368;71.8917;86.8315;154.973;109.627;217.811;172.987;245.07;191.837;178.233;239.361;194.063;186.82;280.605;318.16;220.638;304.631;179.41;259.499;287.162;258.855;297.11;297.431;334.99;321.94;315.055;339.318;354.866;389.09;453.726;351.08;384.577;409.863;392.318;389.45;393.595;338.968;401.37;490.559;448.522;399.746;408.512;477.509;486.24;413.928;383.34;359.196;372.738;397.256;315.058;298.742;360.408;326.342;344.173;312.725;289.493;262.935;268.112;291.283;205.954;248.279;258.216;215.723;245.823;222.76;206.556;232.829;173.267;220.13;226.358;238.17;211.956;220.468;239.613;218.075;211.253;206.789;192.861;158.959;200.625;142.309;126.844;150.669;150.364;111.955;117.123;79.7222;105.117;84.9444;69.0323;86.5663;53.1582;53.6269;24.2696;33.7766;21.1953;16.2563;10.1048;23.0651;16.8126;6.81722;10.4434;3.53078;280;20;FALSE;1;None;5;1;1;1;10.9184;9640.63;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;59.9974;87.7425;63.2396;53.2798;2.2297;378.012;
1171;05/14/22;16:10:50;14.7;76.2;8.627396e-008;1.792553e-005;;0;100.969;60.3165;53.3636;72.1269;77.9284;145.959;183.021;175.615;297.522;261.802;238.934;71.6557;219.053;450.859;359.129;407.503;319.937;401.329;352.528;372.873;345.531;417.644;370.294;476.32;470.156;346.808;475.84;435.995;400.997;489.206;361.466;397.464;352.969;419.04;294.954;334.218;338.231;442.761;498.871;340.025;458.717;436.037;405.054;464.222;439.559;423.3;423.139;378.132;372.656;348.736;401.742;315.536;337.286;363.353;394.134;329.068;301.161;257.48;342.927;252.549;324.344;264.436;231.718;263.026;239.199;266.466;251.057;204.028;207.858;243.921;229.745;218.905;243.006;216.322;205.239;197.475;199.036;220.287;214.493;178.806;216.444;149.933;139.701;192.89;89.0229;122.439;92.379;89.1263;111.461;76.3864;70.5515;56.8708;46.5853;44.9726;41.7133;27.3056;24.5668;18.7737;3.18941;6.46109;6.59056;10.0883;3.40888;3.48141;10.5932;280;20;FALSE;1;None;5;1;1;1;10.9075;9636.01;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;54.6441;80.5859;57.8831;49.5807;2.22739;411.724;
1172;05/14/22;16:15:50;14.7;76.2;8.628528e-008;1.792553e-005;;0;0;0;106.718;96.1933;56.1712;146.011;232.684;163.012;208.28;303.158;227.505;343.582;265.972;393.331;392.901;501.675;495.27;473.497;431.735;571.672;671.502;500.459;539.256;528.98;546.942;521.555;533.79;631.407;516.73;550.733;499.768;525.025;395.564;496.911;458.959;481.721;529.397;381.778;400.269;419.391;556.257;546.801;422.321;496.321;393.267;526.205;386.832;463.511;432.615;434.648;381.28;391.719;434.352;339.669;337.2;316.637;304.223;282.256;214.698;316.94;273.018;304.321;241.271;268.155;212.184;221.321;262.416;224.187;210.176;223.429;186.916;229.38;197.666;163.406;241.587;168.675;232.227;253.091;187.902;131.24;151.062;141.067;164.326;176.425;171.769;145.742;160.027;127.253;88.9883;110.713;57.0011;47.0934;54.1232;43.6882;60.3675;27.306;36.8507;14.8997;22.6432;12.7379;7.23612;13.4513;0;10.4444;3.53111;280;20;FALSE;1;None;5;1;1;1;10.9061;9635.65;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;49.5045;76.4952;54.7203;25.9455;2.19762;465.603;
1173;05/14/22;16:20:50;14.7;76.2;8.629661e-008;1.792553e-005;;0;11.8915;109.999;53.3729;72.1389;12.6903;224.848;250.601;244.535;261.302;237.036;204.531;319.386;302.711;282.273;401.777;352.509;378.111;421.749;361.445;284.575;364.278;298.026;339.666;410.66;329.742;400.401;481.723;449.818;462.511;518.196;509.828;501.197;435.829;479.855;510.4;481.262;569.374;557.718;563.668;462.947;553.206;545.704;540.786;543.584;454.651;454.819;434.447;446.826;447.148;466.558;402.725;402.833;385.847;281.369;329.438;298.054;299.62;269.95;263.149;173.856;282.69;230.779;249.931;191.088;275.66;271.702;163.121;228.95;180.745;199.582;256.042;249.438;249.636;269.339;258.534;261.425;213.479;231.516;257.333;196.091;202.692;207.908;171.718;173.266;156.017;119.666;90.1821;99.9955;97.3244;103.599;75.0256;43.0074;84.6694;30.9334;32.7757;12.3748;39.6807;25.0323;31.895;3.23064;6.59075;10.872;2.61488;6.96302;3.53116;280;20;FALSE;1;None;5;1;1;1;10.9047;9635.3;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;53.4278;80.2903;57.8482;46.1384;2.20573;444.653;
1174;05/14/22;16:25:50;14.7;76.2;8.624001e-008;1.792553e-005;;0;33.6466;211.05;346.773;288.435;382.006;534.307;631.063;494.756;515.213;523.501;593.004;623.854;531.56;470.147;457.043;505.023;468.677;486.342;502.582;481.346;486.84;322.4;343.968;312.704;351.449;441.831;508.532;365.148;462.1;499.157;447.772;426.131;521.272;485.511;547.556;605.289;545.969;540.051;549.28;556.853;520.889;567.442;597.28;599.312;596.945;519.792;458.166;564.334;425.628;391.803;416.158;353.972;378.446;373.602;282.199;254.423;262.308;288.56;267.213;322.064;251.269;220.155;242.803;204.375;225.551;254.878;284.748;267.24;237.262;221.627;230.787;244.206;235.181;235.243;194.833;228.904;228.047;255.723;233.753;220.397;188.858;230.709;188.569;174.738;135.653;170.767;123.66;107.942;77.2335;88.1824;75.0547;70.5674;52.5469;40.253;30.5317;45.7846;18.1436;14.9228;16.6815;9.69122;3.29514;10.0879;6.81747;0;3.53091;280;20;FALSE;1;None;5;1;1;1;10.9117;9637.09;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;46.8831;72.0156;49.6377;15.6788;2.31552;522.529;
1175;05/14/22;16:30:50;14.7;76.3;8.621739e-008;1.792553e-005;;38.2881;100.921;111.231;248.301;528.71;607.826;782.349;740.412;704.547;806.327;889.435;780.661;826.618;792.805;736.668;572.082;740.794;586.457;517.79;575.528;544.381;567.093;431.192;589.998;475.969;523.306;496.593;469.516;494.296;415.813;482.264;490.281;576.653;537.77;501.194;500.735;534.475;465.109;499.239;565.171;525.662;550.086;551.921;568.855;587.242;538.066;543.73;484.147;452.142;348.415;431.745;404.044;322.434;343.499;392.165;321.615;306.63;293.769;292.391;214.855;319.601;277.569;260.912;236.839;271.382;260.723;230.596;272.546;227.484;275.128;229.311;264.513;226.816;221.947;246.556;279.208;207.497;242.949;282.33;182.416;208.46;211.185;167.384;168.82;166.355;169.507;137.589;144.963;123.02;120.598;88.8422;75.4481;59.7332;81.9993;97.3242;33.491;30.6301;27.4386;28.0573;21.9124;3.64742;19.7702;10.0876;5.89773;7.90143;0;280;20;FALSE;1;None;5;1;1;1;10.9146;9637.81;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;40.6631;67.843;45.4358;17.4658;2.35504;586.697;
1176;05/14/22;16:35:50;14.7;76.2;8.625132e-008;1.792553e-005;;0;0;60.3055;453.604;721.064;642.551;888.718;919.634;1193.61;951.191;1120.96;1001;1171.03;882.339;569.11;687.756;661.583;578.34;612.823;437.963;459.381;502.346;359.546;353.316;477.929;429.985;417.081;476.314;372.105;546.649;551.661;462.465;456.518;545.737;404.408;501.03;549.481;577.392;567.314;489.938;485.496;600.847;533.702;584.243;527.145;481.683;451.09;433.911;499.765;485.807;372.477;473.258;381.377;344.177;390.636;259.779;317.082;249.203;298.802;228.702;282.127;320.41;303.681;259.363;298.952;251.308;259.581;277.604;320.941;248.442;274.611;249.377;235.504;268.334;282.84;284.812;244.091;227.014;265.769;247.76;248.74;176.733;214.838;160.926;180.387;198.332;164.652;161.499;119.246;69.0048;117.189;116.986;86.877;64.3426;37.0949;61.0835;39.7098;28.9285;20.3079;22.3252;16.1523;9.88555;6.72537;20.4527;17.6811;3.25246;280;20;FALSE;1;None;5;1;1;1;10.9103;9636.73;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;39.7507;67.8191;44.4731;16.2531;2.41119;612.801;
1177;05/14/22;16:40:50;14.7;76.3;8.621739e-008;1.792553e-005;;0;100.921;391.879;480.267;872.447;952.696;1152.49;1212.38;1514.64;1517.71;1286.92;1124.45;1383.87;1316.95;1297.74;1073.3;887.947;965.408;872.725;740.903;641.329;650.148;481.535;437.958;432.496;345.807;427.635;389.694;461.194;425.698;457.295;467.717;484.428;443.704;426.053;394.621;469.421;443.051;397.575;537.632;422.896;533.129;551.499;457.89;514.797;419.417;481.927;490.524;444.211;371.398;355.941;353.6;365.648;339.727;316.673;370.374;349.186;301.376;293.16;326.93;328.712;316.138;281.079;312.987;302.652;296.999;335.862;256.188;292.145;335.008;255.082;292.055;304.419;247.201;282.984;267.118;254.425;310.17;234.68;292.095;271.008;224.702;270.59;191.468;196.636;195.016;157.157;150.504;154.682;102.798;111.098;120.059;108.717;59.297;72.9474;32.0358;56.3817;30.4099;39.9641;25.8246;15.9614;13.7996;3.36254;10.2259;6.96232;0;280;20;FALSE;1;None;5;1;1;1;10.9146;9637.81;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;31.256;63.6524;40.4048;16.8485;2.45451;700.633;
1178;05/14/22;16:45:50;14.7;76.3;8.614961e-008;1.792553e-005;;0;33.621;361.537;480.239;744.245;885.992;925.827;1069.95;1394.01;1098.68;1297.35;1181.52;1214.2;1277.08;936.569;1072.4;871.81;835.011;762.627;667.984;590.437;416.172;461.358;417.883;421.77;352.257;305.422;407.884;391.615;442.675;362.092;359.573;362.261;384.525;393.461;380.095;379.473;389.503;479.261;470.341;375.378;484.57;385.489;431.544;364.343;348.115;471.423;482.796;431.091;379.731;332.488;390.87;382.448;356.376;393.132;295.722;331.077;266.683;223.445;293.47;285.026;236.98;271.231;306;252.69;341.449;367.94;290.346;322.026;297.428;318.095;350.771;308.274;347.811;341.463;354.014;297.603;324.915;268.733;280.013;275.387;252.948;208.326;239.348;182.981;168.263;160.133;185.938;156.816;151.358;92.6211;64.2426;106.757;61.759;67.3129;52.2191;52.9981;24.5629;31.2845;15.9445;19.3802;6.58951;10.0867;0;10.4426;1.02385;280;20;FALSE;1;None;5;1;1;1;10.923;9639.96;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;33.5422;67.4968;42.5171;16.2531;2.50876;647.819;
1179;05/14/22;16:50:50;14.8;76.2;8.633490e-008;1.793037e-005;;0;202.051;271.57;453.463;512.505;810.077;1049.51;887.152;1107.89;1306.18;1308.13;1049.33;1085.28;1273;1106.19;799.131;850.133;678.295;443.034;537.937;388.416;563.925;430.669;366.752;390.921;262.45;375.866;334.141;257.411;292.455;309.003;300.485;278.154;279.136;328.703;329.806;310.56;363.351;349.267;368.2;348.636;311.377;452.308;404.145;370.516;382.842;346.357;380.395;317.758;314.37;331.733;341.899;389.76;305.658;315.336;324.234;359.089;329.231;335.315;354.407;331.835;335.125;286.787;340.365;262.946;273.675;289.068;311.798;330.936;360.864;310.321;316.639;361.143;346.681;326.355;351.993;346.889;338.786;306.174;283.855;344.569;279.896;267.376;276.774;282.322;228.275;171.148;210.737;151.572;176.372;116.32;115.467;111.728;68.1722;56.583;82.707;29.0929;39.7092;30.5203;29.4935;29.0772;9.88661;4.13783;9.44203;13.9267;7.06267;280;20;FALSE;1;None;5;1;1;1;10.9029;9636.68;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;36.0529;73.7596;45.2775;17.4658;2.61742;612.195;
1180;05/14/22;16:55:50;14.7;76.2;8.627396e-008;1.792553e-005;;38.3072;134.625;331.741;426.966;937.597;1207.2;1518.93;1492.56;1765.1;1791.79;2033.05;1748.15;1492.87;1893.16;1755.75;1700.5;1291.58;1355.71;1003.94;943.524;708.631;651.56;429.246;385.585;361.037;259.362;340.665;287.788;321.654;310.87;325.811;309.487;337.182;295.253;350.339;289.673;373.255;374.398;324.608;412.196;296.843;302.96;301.79;345.774;324.138;408.467;390.385;362.839;340.035;426.851;321.642;319.424;325.708;362.838;311.234;317.342;314.714;234.887;244.836;262.28;279.03;257.445;254.004;305.864;295.49;296.665;323.073;288.914;366.794;387.816;351.345;312.315;383.23;310.731;398.487;354.943;320.868;337.996;306.486;332.591;330.995;277.115;225.87;237.57;186.456;254.352;214.706;162.145;187.557;152.563;120.153;112.095;100.335;82.6549;63.0683;68.5121;51.5943;46.0628;25.0316;38.2729;19.3833;16.4764;13.4511;13.6355;13.9256;17.6553;280;20;FALSE;1;None;5;1;1;1;10.9075;9636.01;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;23.9401;62.9023;37.8506;17.4658;2.54485;755.037;
1181;05/14/22;17:00:48;14.6;76.2;8.622436e-008;1.792069e-005;;0;100.922;554.018;629.994;759.894;1280.31;1341.43;1959.27;1573.53;1967.07;2148.74;2256.79;2360.56;2084.83;1839.06;2192.08;1797.26;1803.79;1566.8;1337.48;1184.03;931.297;810.904;755.343;581.265;518.29;424.536;417.388;354.651;369.703;365.35;330.256;320.224;307.765;310.555;293.365;277.881;357.038;326.51;338.477;320.514;317.371;361.504;397.507;420.193;357.795;333.491;417.694;369.542;326.969;355.921;279.075;292.086;373.004;296.36;284.213;274.038;259.385;299.698;306.627;307.142;240.718;319.529;314.431;244.663;303.52;326.198;310.799;392.308;332.088;331.023;345.735;368.995;337.559;338.969;323.498;373.467;436.525;345.567;318.079;257.367;325.001;337.784;260;206.797;184.577;202.751;175.505;173.504;141.228;107.85;105.353;81.9256;75.0631;53.172;37.2708;50.0272;39.9185;15.6437;15.946;16.1517;13.1803;13.4503;10.226;17.4059;10.5925;280;20;FALSE;1;None;5;1;1;1;10.9107;9634.99;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;23.4173;57.4243;35.3697;18.7688;2.43643;864.221;
1182;05/14/22;17:05:48;14.6;76.1;8.632630e-008;1.792069e-005;;38.3228;269.355;563.563;835.824;1392.24;1443.18;1765.45;2047.49;2250.63;2160.67;2408.33;2834.22;2680.25;2462.02;2561.46;2208.04;1976.04;1879.81;1553.91;1355.7;1071.05;952.007;743.84;559.148;552.502;428.592;538.508;381.323;339.795;272.194;294.506;385.074;392.837;349.839;362.765;348.131;368.798;298.266;389.081;410.247;385.802;374.327;399.121;403.592;426.026;412.376;413.483;324.571;366.694;301.528;352.678;273.878;334.34;324.807;320.937;269.568;301.593;268.761;318.384;240.961;347.942;270.47;297.103;316.959;292.531;310.878;353.775;305.455;347.905;301.753;364.942;356.492;367.581;347.823;283.816;357.742;394.072;321.238;258.437;299.78;266.825;247.479;242.179;245.4;215.381;206.751;188.181;233.05;128.458;103.113;113.082;94.8939;87.3444;89.4663;69.2432;58.2368;51.5806;12.2842;27.3953;13.5404;18.7363;7.25222;10.089;6.81822;3.48164;4.55537;280;20;FALSE;1;None;5;1;1;1;10.8981;9631.75;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;22.1539;53.0694;33.0092;18.1056;2.38009;940.312;
1183;05/14/22;17:10:48;14.6;76.2;8.628096e-008;1.792069e-005;;0;168.283;503.166;1262.48;1065.12;1539.15;1560.81;2004.81;1943.82;2333.25;2118.75;2116.26;2559.57;2095.55;2112.01;2080.86;1504.74;1421.94;1554.07;1240.94;1110.01;886.885;673.574;675.973;552.217;452.3;331.908;289.711;349.006;349.102;309.374;290.523;306.117;351.278;347.336;313.155;343.292;305.4;355.903;372.461;338.673;319.461;344.688;366.373;412.13;429.472;359.417;379.434;363.955;412.557;374.529;341.034;382.603;333.683;268.842;310.171;347.084;293.443;259.63;354.336;276.981;315.633;324.939;220.589;288.127;266.375;320.76;292.13;400.155;348.713;339.02;297.029;374.465;388.094;306.011;379.496;434.617;336.947;331.427;335.927;275.095;199.781;272.789;239.111;244.455;212.907;164.821;174.883;151.971;104.284;87.5343;119.982;65.7303;71.9169;63.6382;61.8395;47.0406;38.4196;23.433;28.7049;25.8446;13.1812;17.6009;12.838;10.4443;0;280;20;FALSE;1;None;5;1;1;1;10.9037;9633.19;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;22.7848;55.95;34.3606;18.7688;2.43853;882.004;
1184;05/14/22;17:15:48;14.6;76.2;8.623568e-008;1.792069e-005;;0;91.31;843.354;808.786;1360.48;1323.86;1693.23;2147.27;1897.95;2481.04;2772.72;2559.26;2460.31;2672.42;2760.37;2339.78;2515.89;2101.17;2003.09;1765.72;1536.34;1126.34;1119.94;937.935;711.86;594.4;517.675;462.559;379.167;370.561;325.926;282.389;284.448;315.176;349.764;302.023;366.704;288.185;336.564;385.571;325.96;410.143;397.898;378.138;450.554;418.602;402.161;371.836;417.716;344.354;365.97;337.981;419.238;312.843;323.76;317.005;306.509;307.428;273.351;358.54;230.308;236.689;256.395;271.123;263.889;353.059;293.338;353.083;334.499;317.972;391.886;357.294;391.04;311.716;447.293;339.523;392.041;335.241;337.144;397.06;314.022;302.394;238.699;234.644;220.88;193.655;196.953;157.422;149.478;117.686;106.683;129.339;83.4652;63.5592;46.6079;30.5692;69.7353;30.707;23.5924;4.65496;22.6127;9.88535;14.2475;6.00951;6.96248;7.06177;280;20;FALSE;1;None;5;1;1;1;10.9093;9634.63;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;22.6034;52.2802;32.8362;17.4658;2.34652;1003.49;
